url;surface;price;firstPubDate;isPro;travelTime;energyGrade;gesGrade
https://www.leboncoin.fr/ventes_immobilieres/1550645864.htm/;67.0;250000.0;Wed Jan 09 18:08:42 CET 2019;false;0.0;N;N
https://www.leboncoin.fr/ventes_immobilieres/1547041922.htm/;140.0;590000.0;Wed Jan 02 17:19:09 CET 2019;false;0.0;N;N
https://www.leboncoin.fr/ventes_immobilieres/1550403621.htm/;67.0;225000.0;Wed Jan 09 09:55:14 CET 2019;false;0.0;C;A
https://www.leboncoin.fr/ventes_immobilieres/1550328905.htm/;51.0;219000.0;Tue Jan 08 23:42:05 CET 2019;false;0.0;N;N
https://www.leboncoin.fr/ventes_immobilieres/1541436470.htm/;71.0;210000.0;Tue Dec 18 23:04:36 CET 2018;false;0.0;V;V
https://www.leboncoin.fr/ventes_immobilieres/1550168012.htm/;90.0;350000.0;Tue Jan 08 17:42:22 CET 2019;false;0.0;C;C
https://www.leboncoin.fr/ventes_immobilieres/1549979848.htm/;46.0;300000.0;Tue Jan 08 11:17:36 CET 2019;false;0.0;A;A
https://www.leboncoin.fr/ventes_immobilieres/1530486501.htm/;72.0;150000.0;Tue Nov 27 11:04:55 CET 2018;false;0.0;D;E
https://www.leboncoin.fr/ventes_immobilieres/1524711059.htm/;65.0;162500.0;Fri Nov 16 19:44:15 CET 2018;false;0.0;D;B
https://www.leboncoin.fr/ventes_immobilieres/1549825021.htm/;70.0;300000.0;Tue Jan 08 08:35:07 CET 2019;false;0.0;E;E
https://www.leboncoin.fr/ventes_immobilieres/1549828831.htm/;65.0;160000.0;Mon Jan 07 21:59:40 CET 2019;false;0.0;C;D
https://www.leboncoin.fr/ventes_immobilieres/1549776168.htm/;65.0;215000.0;Mon Jan 07 20:06:59 CET 2019;false;0.0;C;D
https://www.leboncoin.fr/ventes_immobilieres/1549689668.htm/;203.0;615000.0;Mon Jan 07 17:38:45 CET 2019;false;0.0;D;E
https://www.leboncoin.fr/ventes_immobilieres/1549645915.htm/;117.0;315000.0;Mon Jan 07 16:15:05 CET 2019;false;0.0;E;E
https://www.leboncoin.fr/ventes_immobilieres/1549645904.htm/;54.0;160000.0;Mon Jan 07 16:15:03 CET 2019;false;0.0;E;C
https://www.leboncoin.fr/ventes_immobilieres/1549603530.htm/;102.0;350000.0;Mon Jan 07 14:56:09 CET 2019;false;0.0;E;E
https://www.leboncoin.fr/ventes_immobilieres/1524112720.htm/;100.0;319000.0;Thu Nov 15 15:38:48 CET 2018;false;0.0;C;A
https://www.leboncoin.fr/ventes_immobilieres/1549547780.htm/;85.0;239000.0;Mon Jan 07 13:17:27 CET 2019;false;0.0;D;D
https://www.leboncoin.fr/ventes_immobilieres/1549523045.htm/;158.0;188000.0;Mon Jan 07 12:26:14 CET 2019;false;0.0;C;N
https://www.leboncoin.fr/ventes_immobilieres/1549510988.htm/;35.0;95000.0;Mon Jan 07 12:02:36 CET 2019;false;0.0;G;E
https://www.leboncoin.fr/ventes_immobilieres/1533033526.htm/;99.0;255000.0;Sun Dec 02 11:33:47 CET 2018;false;0.0;D;C
